id	tgt_text
39	▁so ▁i ▁had ▁a ▁chance ▁i ▁came ▁to ▁the ▁world ▁competition ▁call ed ▁mr ▁world ▁and ▁a lso ▁s bs ▁super ▁model
106	▁i ▁hear d ▁you ▁actually ▁play ▁billiards ▁ten ▁hours ▁a ▁day
128	▁your ▁daughter ▁is ▁famous ▁so ▁you ▁should ▁build ▁a ▁nice ▁house ▁whi ch ▁look s ▁good ▁people ▁said
156	▁every ▁child ▁on ▁this ▁land ▁has ▁the ▁right ▁to ▁grow ▁up ▁happily ▁you ▁a lso ▁have ▁the ▁right ▁to ▁be ▁protect ed ▁from ▁adults
253	▁the ▁low ▁fe rt ility ▁ rate ▁is ▁so ▁severe ▁these ▁days ▁so ▁there ▁are ▁man y ▁people ▁who ▁think ▁that ▁they ▁are ▁not ▁confident ▁in ▁raising ▁a ▁child
278	▁even tually ▁the ▁medi ator ▁of ▁the ▁tw ins ▁stepp ed ▁up
313	▁you ▁dont ▁have ▁to ▁call ▁me ▁after ▁you ▁decide ▁to ▁adopt ▁i ▁think ▁a ▁procedure ▁to ▁find ▁out ▁more ▁about ▁us ▁by ▁phone ▁is ▁a lso ▁needed
323	▁a ▁period ▁of ▁preparation ▁is ▁needed ▁and ▁a ▁case ▁like ▁this ▁is ▁what ▁we ▁usual ly ▁call ▁foster ▁home ▁care
347	▁in ▁the ▁case ▁of ▁parent al ▁adopt ion ▁you ▁form er ly ▁accept ▁the ▁child ▁as ▁your ▁family ▁so ▁the ▁parents ▁pay ▁for ▁it ▁but ▁in ▁the ▁case ▁of ▁the ▁foster ▁home ▁system ▁it ▁is ▁litera lly ▁just ▁a ▁cons ign ment
351	▁my ▁w ife ▁could nt ▁just ▁watch ▁the ▁situation ▁so ▁she ▁br ought ▁the ▁child ▁home ▁that ▁was ▁the ▁beginning ▁of ▁the ▁relationship ▁with ▁my ▁child
378	▁one ▁day ▁he ▁ask ed ▁me ▁to ▁look ▁after ▁the ▁child ▁for ▁just ▁two ▁weeks
379	▁after ▁discuss ing ▁it ▁with ▁the ▁home room ▁teacher ▁he ▁told ▁me ▁about ▁his ▁house ▁and ▁i ▁we nt ▁there ▁but ▁this ▁child ▁has ▁not ▁be en ▁take n ▁care ▁of ▁well ▁by ▁his ▁father
419	▁im ▁study ing ▁design ▁while ▁working ▁on ▁a ▁job ▁relat ed ▁to ▁print ing ▁and ▁now ▁im ▁going ▁to ▁move ▁on ▁to ▁this
